"be
was, were
been",être,
"become
became
become",devenir,
"begin
began
begun",commencer,
"bet
bet
bet",parier,
"blow
blew
blown","gonfler, souffler",
"break
broke
broken",casser,
"bring
brought
brought",apporter,
"build
built
built",construire,
"burn
burnt, burned
burnt, burned",brûler,"""burnt"" est plus courant en anglais britannique, ""burned"" en anglais américain."
"buy
bought
bought",acheter,
"cast
cast
cast",jeter,
"catch
caught
caught",attraper,
"choose
chose
chosen",choisir,
"come
came
come",venir,
"cut
cut
cut",couper,
"dig
dug
dug","creuser, fouiller",
"do
did
done",faire,
"draw
drew
drawn",dessiner,
"drink
drank
drunk",boire,
"drive
drove
driven",conduire,
"eat
ate
eaten",manger,
"fall
fell
fallen",tomber,
"feed
fed
fed",nourrir,
"fight
fought
fought",se battre,
"find
found
found",trouver,
"fly
flew
flown",voler,
"forbid
forbade
forbidden",interdire,
"forget
forgot
forgotten",oublier,
"get
got
got","obtenir, avoir",
"give
gave
given",donner,
"go
went
gone",aller,
"grow
grew
grown","grandir, cultiver",
"hang
hung
hung",accrocher,
"have
had
had",avoir,
"hear
heard
heard",entendre,
"hold
held
held",tenir,
"hurt
hurt
hurt","blesser, faire mal",
"keep
kept
kept",garder,
"know
knew
known","connaître, savoir",
"lead
led
led","diriger, guider",
"learn
learnt, learned
learnt, learned",apprendre,"""learnt"" est plus courant en anglais britannique."
"leave
left
left",quitter,
"let
let
let","permettre, louer",
"lose
lost
lost",perdre,
"make
made
made","fabriquer, faire",
"mean
meant
meant",signifier,
"meet
met
met",rencontrer,
"overcome
overcame
overcome","surmonter, vaincre",
"pay
paid
paid",payer,
"put
put
put",mettre,
"read
read
read",lire,Prononciation différente au passé (/red/).
"ride
rode
ridden","monter (à cheval), faire (du vélo)",
"ring
rang
rung",sonner,
"rise
rose
risen","s'élever, se lever (soleil)",
"run
ran
run",courir,
"say
said
said",dire,
"see
saw
seen",voir,
"sell
sold
sold",vendre,
"send
sent
sent",envoyer,
"set
set
set","mettre (la table), se coucher (soleil)",
"shoot
shot
shot","abattre, tirer (arme), tourner (film)",
"sing
sang
sung",chanter,
"sit
sat
sat",s'asseoir,
"sleep
slept
slept",dormir,
"speak
spoke
spoken",parler,
"spend
spent
spent","dépenser, passer du temps",
"spoil
spoilt, spoiled
spoilt, spoiled","abîmer, gâcher",
"spread
spread
spread","répandre, étendre, propager",
"stand
stood
stood",se tenir debout,
"swim
swam
swum",nager,
"take
took
taken",prendre,
"teach
taught
taught",enseigner,
"tell
told
told","dire, raconter",
"think
thought
thought",penser,
"throw
threw
thrown",jeter,
"understand
understood
understood",comprendre,
"wake
woke
woken",s'éveiller,
"wake up
woke up
woken up",se réveiller,
"wear
wore
worn",porter (un vêtement),
"win
won
won",gagner,
"write
wrote
written",écrire,
